id,country_id
2,0
3,0
5,1
6,2
6,1
11,1
12,1
13,1
14,1
15,1
16,3
16,4
16,0
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,1
17,6
17,12
18,5
19,6
20,13
20,14
21,1
22,1
24,1
25,6
25,1
26,15
26,11
27,12
28,1
30,2
33,1
35,1
38,1
55,16
58,1
59,1
59,13
59,6
62,1
62,12
63,1
64,14
65,1
66,1
67,17
67,5
67,6
67,15
67,9
68,12
69,6
69,1
70,1
71,5
71,12
73,1
74,1
75,1
76,18
76,19
76,1
77,1
78,1
78,20
78,12
79,21
80,1
81,2
82,22
82,1
82,6
82,23
83,1
85,1
86,6
86,24
87,1
88,1
89,1
90,1
91,14
92,18
93,1
95,1
96,1
97,1
98,12
98,1
99,14
99,5
100,12
101,5
101,1
102,4
103,1
104,6
105,1
106,1
107,12
107,1
108,5
108,25
109,5
109,25
110,5
110,25
110,19
111,1
112,4
112,11
113,26
113,6
114,1
115,12
115,1
116,24
116,27
116,28
116,12
116,1
117,1
118,29
118,12
118,1
120,30
120,1
121,30
121,1
122,30
122,1
123,1
124,25
127,25
128,2
129,2
132,1
134,5
134,12
134,1
135,12
136,1
137,1
138,1
139,4
139,11
140,14
141,1
142,13
142,1
143,1
144,6
144,5
145,4
145,5
145,7
145,9
145,10
145,11
146,21
146,20
146,31
146,1
147,5
148,14
149,2
150,1
152,1
153,2
153,1
154,1
155,12
155,1
156,4
156,5
156,12
156,11
157,1
158,32
158,6
158,9
159,6
160,5
161,1
162,1
163,1
164,1
165,1
166,5
167,6
167,12
167,1
168,1
169,1
170,12
171,5
172,1
173,1
174,1
175,5
175,8
175,1
176,1
177,1
178,1
179,5
179,6
179,12
179,1
180,1
182,1
183,1
184,1
185,12
185,1
186,6
186,1
187,1
189,1
192,5
192,8
192,6
193,1
194,5
194,6
195,1
196,1
197,1
198,1
199,1
200,1
201,1
203,1
204,5
204,8
205,13
205,12
205,1
205,8
205,33
206,29
206,6
206,5
206,12
207,1
211,6
212,1
213,1
214,1
215,1
216,6
217,1
218,12
218,1
219,14
220,1
221,1
222,6
223,1
224,25
225,25
226,1
227,1
228,6
229,1
231,1
232,1
233,1
234,6
235,1
236,29
236,5
237,5
237,12
238,1
239,1
240,1
241,1
242,8
242,1
243,12
243,1
244,1
245,12
245,1
246,2
247,1
248,1
249,1
250,4
251,1
252,1
253,12
254,30
254,1
254,6
255,5
256,5
257,34
257,5
257,8
257,12
258,5
259,5
260,12
261,1
262,1
265,6
266,5
266,8
267,5
267,14
268,12
268,1
269,5
271,11
271,10
272,12
272,1
273,6
274,1
275,1
276,18
276,6
277,6
277,35
277,12
277,1
278,1
279,1
280,5
280,1
281,1
284,1
285,1
286,6
287,1
288,1
289,1
290,12
290,1
291,5
291,1
292,1
293,1
294,1
296,6
296,12
296,1
297,1
298,1
299,1
300,5
300,8
301,1
302,5
302,12
303,1
306,1
307,8
308,5
308,1
309,4
309,11
310,1
311,1
311,8
312,6
313,13
313,12
314,1
315,1
316,6
317,36
317,18
317,6
317,37
318,1
318,6
319,1
320,1
321,13
322,1
326,1
327,12
327,2
327,1
329,1
330,1
331,1
332,1
333,13
334,1
335,8
335,14
335,1
336,8
337,5
338,6
339,6
339,0
339,5
339,12
339,1
340,1
342,6
343,1
344,6
345,12
345,1
346,2
347,6
348,1
348,12
349,5
350,1
363,6
363,38
364,12
364,1
377,1
378,1
379,1
380,1
381,1
383,1
387,6
388,1
389,1
390,6
390,39
391,8
391,6
391,14
392,12
392,1
393,1
395,13
395,34
395,6
395,12
395,1
396,1
397,12
397,1
398,13
398,1
400,1
401,1
402,5
402,1
403,1
404,1
405,8
406,5
407,6
408,1
409,12
409,1
410,6
411,12
411,1
414,12
414,1
415,12
415,1
421,1
422,8
422,5
423,5
423,6
423,25
423,12
424,1
425,1
426,1
427,5
427,8
428,6
429,1
429,8
429,14
429,6
430,1
431,13
433,1
434,6
435,1
436,40
436,41
436,1
437,13
438,13
439,8
439,5
440,1
441,1
442,0
442,11
445,18
445,5
445,6
445,8
445,1
451,1
452,4
452,5
452,6
452,8
452,9
452,11
453,1
454,1
455,42
455,6
455,12
455,1
457,18
458,18
458,6
459,6
459,18
460,6
462,1
464,11
465,5
466,1
467,12
468,1
469,1
470,1
471,6
471,5
471,25
473,1
475,1
476,1
479,6
479,1
480,42
481,14
482,1
483,1
488,12
488,1
489,13
489,1
490,11
492,1
493,1
494,1
496,1
497,1
499,5
499,8
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,5
507,1
508,12
508,1
509,12
509,1
510,1
511,25
512,12
513,13
513,42
521,1
522,1
523,6
524,5
524,1
525,1
526,1
527,30
530,12
531,12
532,12
533,12
533,1
534,6
534,8
534,12
534,1
535,1
537,5
539,1
540,1
541,1
542,16
543,12
544,1
546,1
547,1
548,2
549,1
550,6
550,1
551,1
552,8
553,4
553,0
553,5
553,6
553,8
553,9
553,10
553,11
553,12
554,0
554,28
557,1
558,1
559,1
560,1
561,6
561,1
562,1
563,1
564,1
565,2
565,1
567,1
568,1
570,5
570,8
571,1
572,4
572,10
572,11
573,12
574,1
575,6
576,1
577,1
578,1
579,1
580,1
581,12
581,1
582,6
583,12
584,1
585,1
586,1
587,1
588,13
588,5
588,2
588,1
590,1
591,1
591,43
591,5
591,12
592,1
593,28
594,1
595,1
596,1
597,1
598,44
598,5
599,1
600,12
600,1
601,1
602,1
603,29
603,1
604,29
604,1
605,1
605,29
606,1
607,1
608,1
609,1
612,13
612,1
612,5
613,18
613,6
613,8
614,11
615,1
616,2
616,1
616,30
617,1
618,1
619,1
620,1
621,1
622,5
622,39
622,14
623,12
623,1
624,1
625,12
626,5
627,12
628,1
629,1
630,1
631,1
632,1
633,32
633,9
634,5
634,24
634,12
634,1
635,1
636,1
637,8
638,1
639,1
640,1
641,1
642,1
643,28
644,1
646,12
647,2
648,5
649,5
649,8
650,1
651,1
652,1
652,43
652,12
653,6
654,1
655,6
655,5
655,12
655,1
657,12
658,12
658,1
659,6
659,37
659,25
659,5
660,45
660,5
660,12
660,1
661,6
662,5
663,1
664,1
665,1
666,44
667,12
668,12
668,1
669,13
670,26
671,12
671,1
672,6
672,12
672,1
673,12
673,1
674,12
674,1
675,12
675,1
676,1
677,6
678,1
679,12
679,1
680,1
681,12
681,1
682,12
682,1
685,6
686,1
687,1
687,12
688,1
689,46
690,5
691,12
691,1
692,1
693,1
694,1
694,12
695,1
696,1
697,28
698,5
698,12
698,1
699,12
699,1
700,12
700,1
701,1
702,1
703,1
704,12
705,1
706,6
707,5
707,7
707,12
707,1
708,12
708,1
709,12
709,1
710,12
710,1
711,1
712,12
713,30
713,29
713,5
714,12
714,1
742,11
744,1
745,1
746,5
746,21
746,12
746,8
747,12
747,1
747,5
750,12
751,12
752,6
752,12
752,1
753,1
754,1
755,1
756,1
757,12
758,12
759,1
760,8
760,5
761,5
762,12
763,30
764,1
765,1
766,1
767,12
767,1
768,34
768,12
769,1
770,1
771,1
772,1
773,1
774,5
775,5
776,5
777,5
778,5
779,6
779,5
780,5
781,6
782,1
783,42
783,12
784,5
784,34
784,12
786,1
787,1
788,1
789,34
790,1
791,13
792,12
792,1
793,1
794,12
794,1
795,1
795,6
796,1
797,11
798,6
799,6
800,16
801,1
802,12
802,1
803,5
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,12
814,1
815,1
816,6
816,1
817,1
818,1
819,1
820,1
821,6
821,1
822,42
823,2
824,29
824,1
825,1
826,12
826,1
827,5
828,1
829,1
830,1
831,1
832,6
833,8
834,1
836,44
837,13
838,1
839,1
840,1
841,1
842,1
843,21
843,20
844,6
844,20
844,21
844,5
844,8
845,1
846,13
846,1
847,1
848,12
849,14
849,12
849,8
849,1
850,1
850,13
851,12
853,24
853,1
853,6
853,12
854,1
855,12
855,1
856,1
857,1
858,1
859,12
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,12
866,1
867,1
868,33
869,1
870,2
871,1
872,1
873,1
874,12
875,1
876,13
876,6
876,8
876,1
876,28
877,1
878,6
879,1
880,9
880,12
880,32
881,1
883,1
884,13
885,1
886,1
887,1
888,1
889,1
890,18
890,6
891,1
892,5
895,47
895,28
896,42
897,42
898,1
899,1
900,1
901,1
902,5
902,6
902,14
903,1
905,6
907,8
907,1
909,1
910,1
911,1
912,1
913,1
914,1
916,1
917,42
918,1
919,2
920,1
921,1
922,6
922,2
922,1
923,8
923,2
923,1
924,1
925,1
926,1
927,1
928,1
929,1
931,8
931,12
932,6
934,5
935,12
935,1
936,1
938,8
938,14
938,6
939,1
940,12
941,1
942,1
943,1
944,1
946,1
947,12
948,1
949,1
950,1
951,1
953,1
954,1
955,6
955,1
956,21
956,6
956,1
957,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
975,1
976,1
977,1
978,1
979,5
980,1
981,1
982,1
983,1
983,12
984,1
985,1
986,19
986,14
986,5
987,1
988,1
989,1
990,1
991,12
992,1
993,12
994,12
994,1
995,1
996,1
1018,5
1018,1
1023,4
1023,6
1024,30
1039,18
1040,8
1040,5
1049,5
1049,1
1050,21
1051,1
1052,12
1052,1
1052,8
1058,1
1059,2
1073,1
1075,48
1075,49
1075,6
1075,18
1075,5
1088,30
1089,1
1090,1
1091,1
1092,12
1093,5
1103,1
1114,50
1114,6
1115,6
1116,24
1116,12
1116,6
1116,8
1116,14
1116,5
1116,32
1116,19
1123,5
1123,12
1123,1
1123,33
1124,1
1125,1
1126,30
1127,14
1162,1
1163,1
1164,5
1164,2
1164,16
1164,1
1165,5
1165,8
1165,12
1165,1
1213,1
1244,6
1245,12
1245,1
1246,1
1247,1
1248,12
1248,34
1248,5
1248,8
1249,1
1250,1
1250,29
1251,2
1251,1
1252,1
1253,12
1253,1
1254,5
1255,26
1257,1
1259,12
1262,1
1265,1
1266,1
1267,1
1268,12
1268,1
1268,5
1268,6
1269,6
1271,1
1272,12
1272,1
1273,1
1277,6
1277,35
1278,5
1278,8
1278,12
1279,26
1280,26
1280,2
1281,12
1281,1
1282,1
1283,14
1284,14
1285,14
1294,6
1358,12
1359,13
1359,1
1360,16
1360,1
1360,13
1361,1
1362,1
1363,1
1364,14
1364,5
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,6
1372,1
1373,12
1373,9
1374,1
1375,1
1376,12
1377,1
1378,1
1379,0
1380,1
1381,1
1382,1
1387,1
1389,1
1391,16
1392,1
1393,50
1393,6
1394,47
1394,8
1396,28
1398,28
1402,1
1403,1
1404,32
1404,6
1404,8
1404,14
1404,12
1405,1
1406,1
1407,34
1407,5
1407,12
1408,5
1408,6
1408,8
1408,1
1410,1
1411,1
1412,1
1413,1
1414,14
1415,9
1415,1
1416,26
1417,14
1417,1
1417,16
1418,14
1419,6
1420,12
1420,24
1421,5
1422,20
1422,1
1427,14
1427,6
1427,5
1428,1
1429,1
1430,1
1433,14
1433,16
1435,1
1439,51
1439,1
1440,1
1441,52
1441,1
1443,1
1448,12
1450,2
1450,20
1450,21
1450,5
1452,1
1479,1
1480,1
1481,29
1482,1
1483,1
1484,6
1485,12
1487,1
1488,21
1491,34
1491,1
1492,5
1492,53
1492,14
1492,12
1492,1
1493,1
1494,21
1494,20
1495,6
1495,54
1495,14
1495,12
1495,1
1496,1
1497,20
1497,1
1498,20
1498,1
1499,20
1499,1
1523,12
1523,6
1523,1
1534,1
1535,12
1535,1
1537,1
1538,1
1539,6
1540,13
1540,5
1541,1
1542,1
1543,6
1544,6
1544,12
1544,1
1546,1
1547,1
1548,6
1548,12
1548,1
1549,5
1550,1
1551,1
1552,1
1553,5
1554,6
1554,1
1555,5
1556,2
1557,6
1559,13
1559,6
1559,5
1560,46
1561,5
1562,14
1562,12
1563,5
1566,6
1567,5
1568,5
1571,12
1571,1
1572,1
1573,1
1574,1
1576,5
1576,6
1576,12
1576,1
1577,12
1577,1
1577,6
1577,5
1577,13
1578,1
1579,1
1580,1
1581,12
1581,1
1583,6
1584,6
1584,1
1585,1
1586,1
1587,1
1588,1
1589,12
1589,24
1589,6
1590,6
1590,1
1591,6
1592,1
1593,1
1593,12
1594,12
1594,1
1595,13
1595,1
1595,6
1596,13
1597,1
1598,1
1599,6
1599,1
1600,5
1600,10
1600,25
1607,1
1608,12
1609,5
1609,12
1610,12
1611,6
1613,13
1613,12
1615,6
1616,6
1618,12
1619,1
1620,5
1620,1
1621,1
1622,5
1623,1
1624,1
1626,5
1627,5
1628,5
1629,5
1630,1
1631,5
1632,1
1633,1
1634,5
1634,1
1635,1
1636,1
1637,1
1639,1
1640,6
1640,1
1641,1
1642,1
1643,5
1643,8
1644,1
1645,1
1646,6
1646,1
1647,1
1648,1
1649,1
1651,5
1651,8
1652,6
1653,44
1653,3
1653,55
1653,5
1653,6
1653,56
1653,12
1653,1
1654,12
1654,1
1655,6
1656,16
1656,1
1659,6
1660,5
1661,6
1662,1
1662,12
1665,1
1666,1
1667,5
1669,1
1672,5
1673,1
1675,5
1675,8
1676,1
1677,1
1678,2
1679,2
1680,2
1682,2
1683,1
1685,1
1686,1
1687,1
1688,1
1689,5
1689,8
1689,57
1689,12
1690,1
1691,1
1694,1
1696,6
1696,1
1697,6
1698,6
1700,1
1701,1
1702,12
1705,1
1710,1
1712,1
1713,1
1714,12
1715,1
1716,5
1717,1
1718,1
1719,5
1720,7
1721,8
1722,12
1722,1
1722,5
1723,1
1724,1
1725,1
1726,1
1727,1
1729,21
1729,1
1730,25
1730,1
1730,5
1731,13
1731,6
1731,12
1731,1
1732,1
1734,1
1735,6
1735,1
1736,6
1738,1
1770,24
1770,12
1771,1
1772,1
1773,1
1774,12
1774,1
1775,13
1775,1
1776,1
1777,1
1778,1
1779,1
1781,1
1782,13
1782,6
1782,5
1783,12
1783,58
1783,1
1785,5
1785,8
1786,6
1786,5
1786,8
1787,8
1787,5
1788,1
1789,1
1790,1
1791,18
1791,5
1792,1
1793,1
1802,5
1802,6
1803,1
1807,1
1808,12
1809,6
1809,1
1810,1
1811,1
1811,5
1812,1
1813,6
1813,1
1815,12
1815,1
1816,1
1817,1
1818,5
1819,1
1824,1
1825,1
1826,5
1826,12
1829,5
1830,5
1830,1
1830,6
1831,1
1832,1
1833,1
1834,1
1835,1
1836,5
1837,5
1838,4
1840,1
1841,1
1842,1
1843,1
1844,12
1844,1
1845,5
1845,6
1846,1
1847,1
1848,1
1849,12
1849,1
1850,1
1852,1
1853,1
1857,1
1858,1
1859,1
1863,5
1863,8
1865,1
1870,5
1870,8
1871,5
1871,8
1872,30
1872,1
1874,32
1874,33
1875,5
1875,8
1877,1
1878,1
1879,1
1880,1
1882,1
1883,1
1884,1
1885,1
1887,5
1887,1
1887,2
1888,1
1890,1
1891,1
1892,1
1893,1
1894,1
1895,1
1896,14
1899,13
1899,5
1900,6
1900,1
1901,1
1902,14
1903,1
1904,1
1906,59
1907,12
1907,1
1908,1
1909,1
1911,1
1912,6
1913,14
1913,5
1913,8
1914,6
1915,6
1917,5
1918,15
1918,5
1919,13
1920,1
1921,1
1922,32
1922,6
1922,5
1923,1
1924,12
1924,1
1926,36
1926,60
1926,61
1926,5
1926,12
1926,15
1926,42
1926,62
1926,2
1926,16
1926,1
1927,1
1930,1
1931,1
1933,14
1933,1
1933,5
1933,8
1934,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,12
1944,1
1945,1
1946,13
1946,5
1946,12
1947,1
1947,6
1948,1
1949,1
1950,1
1951,4
1951,5
1951,6
1951,8
1951,9
1951,11
1951,12
1954,13
1954,1
1955,12
1955,1
1956,1
1956,3
1957,1
1958,5
1958,8
1959,12
1961,1
1963,26
1963,2
1964,6
1965,1
1966,5
1966,6
1966,8
1966,9
1966,12
1966,1
1967,1
1968,1
1969,1
1969,5
1969,16
1970,2
1970,1
1975,1
1976,1
1977,1
1978,12
1979,6
1979,12
