production_companies_id,name
559,TriStar Pictures
2231,Trilogy Entertainment Group
932,Mirage Enterprises
11581,Misher Films
20194,Motion Picture JOTA Produktions
766,Blue Tulip Productions
26265,Ronald Shusett/Gary Goldman
76068,Digital Image Associates
14315,Section Eight Productions
70319,Sunset Gower Studios
88,Hawk Films
308,The Weinstein Company
816,FilmEngine
826,Capitol Films
1204,Ascendant Pictures
2116,VIP Medienfonds 4
21962,The Complex Studio
7405,Dimension Films
10807,Troublemaker Studios
53009,Miramax
11005,AR Films
11006,Aldamisa Entertainment
13241,Demarest Films
29076,Solipsist Film
41658,Residaco
4606,Zweites Deutsches Fernsehen (ZDF)
7110,Les Films Ariane
20091,RAI Radiotelevisione Italiana
45693,Cristaldifilm
592,Claudie Ossard Productions
4411,MMC Independent
12000,Tapioca Films
23446,Sofica Sofinergie 5
25020,Victoires Productions
27897,Filmstiftung Nordrhein-Westfalen
30994,Union Générale Cinématographique (UGC)
4564,Icon Entertainment International
11353,B.H. Finance C.V.
120,Scorsese Productions
141,Véra Films
144,Fono Roma
534,Filmsonor
11788,Compagnie Industrielle et Commerciale Cinématographique (CICC)
564,Industrial Development Corporation of South Africa
1205,Endgame Entertainment
2760,Miracle Pictures
7495,Sixth Sense Productions
11912,Mikado Film
19834,Inside Track Films
402,Luna Filmproduktion
1053,Got Films
64651,Saw 2 Productions
10869,Filmverlag der Autoren
11626,Tango Film
41,Orion Pictures
1280,Pacific Western
3952,Hemdale Film
4764,Cinema 84
7745,Euro Film Funding
50,Deutsche Vereinsfilm AG
51,Fox Europa Produktion
1553,Selznick International Pictures
43,Fox Searchlight Pictures
54,The Independent Film Channel Productions
307,IFC Films
1422,Killer Films
11351,Hart-Sharp Entertainment
6735,Participant Media
7786,FilmWorks
20665,4M
20666,MID Foundation
14150,Orion Pictures Corporation
14772,Warner Bros. Home Entertainment Group
55,Decla Film Gesellschaft Holz & Co.
1153,Act III Communications
90896,The Body
90897,Act III
105,Ciby 2000
11840,Film Victoria
39250,House & Moorhouse Films
11561,Recorded Picture Company (RPC)
10211,Alfran Productions
219,The Mirisch Corporation
11982,Ashton Productions
536,The Coppola Company
508,Regency Enterprises
644,Alcor Films
4198,Ixtlan
10104,New Regency Pictures
68551,J D Productions
32,Buena Vista
567,Office Kitano
568,Saito Entertainment
569,Tokyo FM Broadcasting Company
570,Bandai Visual Company (JAPAN)
52795,Harris-Kubrick Productions
1044,Franton Production
165,Steen Herdel Filmproduktion
3434,David L. Wolper Productions
7576,Eon Productions
10761,Danjaq
68,Big Primate Pictures
69,MFPV Film
64,Les Productions Artistes Associés
65,Ulysse Production
66,Town
67,Unitec Films
355,R.P. Productions
2979,ETIC Films
6732,Runteam III Ltd.
72,Valoria Films
73,Fida cinematografica
4978,Gaumont British Picture Corporation
100,Avon Production
101,Roxy Film
7333,Bayerischer Rundfunk (BR)
8658,Rialto Films
14309,CIP Filmproduktion GmbH
109,Rome Paris Films
1714,Les Films Concordia
10000,Compagnia Cinematografica Champion
7832,CiBy 2000
4357,The Guber-Peters Company
249,Société Nouvelle de Cinématographie
10906,Les Films Impéria
10907,Les Productions Georges de Beauregard
113,AB Svenska Ord
115,AB Film-Teknik
3221,Sveriges Television (SVT)
6181,Svensk Filmindustri (SF)
12984,Norsk Film
19231,Patalex III Productions Limited
116,Cameo Film- und Fernsehproduktion
117,Kunsthochschule für Medien Köln (KHM)
55072,Strong Heart/Demme Production
121,Y3 Film
122,Coop 99
124,Südwestrundfunk
7733,Laurinfilm
7734,Subterranean Productions LLC
7735,Subterranean Productions UK Ltd.
7736,Underworld Produktions GmbH
574,Lightstorm Entertainment
14723,Carolco Pictures
61409,T2 Productions
11241,The Mirisch Company
736,Little Shark Entertainment GmbH
1312,The Mount Company
893,Stanley Kramer Productions
11273,Circle Films
2448,Yari Film Group
8888,The Samuel Goldwyn Company
80277,Desert Hearts Productions
7340,C-2 Pictures
23636,Mostow/Lieberman Productions
136,City Light Films
67993,Dorchester
6586,TPS Star
11911,Partizan Films
104,Canal Plus
147,Fidélité Productions
148,Gimages
149,FOZ
150,Headforce Ltd.
153,Minerva Film SpA
193,Excelsa Films
208,Bac Films
22456,Five Roses
156,Nordic Film
158,Spyglass Entertainment
159,Shady Acres Entertainment
160,Pit Bull Productions
162,Bayerischer Rundfunk
164,Rhombus Media
813,DiNovi Pictures
52945,Frantic Films
52946,Maple Shade Films
52947,Catwoman Films
170,Eve Productions Inc.
166,Peter Rommel Productions
167,Deblokada
168,Jadran Film
169,Noirfilm
1490,Kintop Pictures
342,Davis-Films
3322,August Entertainment
10210,Morgan Creek Productions
1088,Alcon Entertainment
1089,Witt/Thomas Productions
4096,icon
6516,Tokyo FM Broadcasting Co.
11562,Fuzzy Bunny Films (I)
11563,Little Brother Inc.
13,Universal Studios
175,Caravan Pictures
20477,DiC Entertainment
176,Different Tree Same Wood Productions
178,Ghoulardi Film Company
179,The Magnolia Project
218,Rafran Cinematografica
11386,Finanzia San Marco
1110,Euro International Films
189,ARP Sélection
46,WDR
181,Channel Four Films
182,JVC Entertainment
184,Locus Solus Entertainment
186,Pyramide Productions
187,Victor Musical Industries
11345,Stillking Films
12808,Big Beach Films
54285,Telegraph Films
161,Claussen + Wöbke Filmproduktion GmbH
191,Senator Film Produktion
5011,Becker & Häberle Filmproduktion GmbH
8465,Traumwerk Filmproduktion GmbH
194,Hobby Films
195,Pole Star
196,Filmstudio Berlin
86602,Filmstudio 1929
19747,Brandywine Productions
444,Dune Entertainment
445,Major Studio Partners
682,Peninsula Films
200,Corazón International
203,Panfilm
204,Wüste Filmproduktion
7201,Norddeutscher Rundfunk (NDR)
11731,Bavaria Film International
1531,Smart Egg Pictures
206,Star Partners II Ltd.
209,Radiant Film GmbH
210,Süddeutscher Rundfunk
1704,Bavaria Film
11344,Twin Bros. Productions
4319,40 Acres & A Mule Filmworks
10212,Orion-Nova Productions
8366,Road Movies Filmproduktion
11143,Madragoa Filmes
36229,Wim Wenders Stiftung
10481,Jolly Film
19498,Ocean Films
903,David Brown Productions
65781,Fat Free
264,Studio Babelsberg
19828,Lonlink Productions
19829,Kut Productions
19835,Charenton Productions Limited
76043,Revolution Sun Studios
1684,Chenault Productions
34207,Prufrock Pictures
213,Cooper s Town Productions
214,Eagle Vision Inc.
11715,Manitoba Film and Video Production Tax Credit
