collection_id,name
47814,The Thin Man Collection
3601,I Know What You Did Last Summer Collection
9309,Winnetou Collection
314917,Flesh Gordon Collection
177062,Blondie Collection
10893,Critters Collection
85960,My Girl Collection
9518,The Transporter Collection
12141,3 Men (Original) Collection
2602,Scream Collection
4246,Scary Movie Collection
279836,Herr Lehmann Filmreihe
86029,Charlie s Angels Collection
123289,Unoffical Ghosthouse Series
39460,The Water of the Hills Collection
239968,La cage aux folles
9735,Friday the 13th Collection
91660,30 Days of Night Collection
100286,Elizabeth Collection
91698,Chili Palmer Collection
84923,The Orphic Trilogy
50457,Sex and the City Collection
10517,Le Gendarme de St. Tropez Collection
89188,Harry Palmer Collection
10721,Mimic Collection
8783,Fievel Collection
289531,Gator Collection
460334,Bulldog Drummond (Richard Johnson) Collection
37261,The Carry On Collection
48194,Ator Collection
294834,Vixens Collection
441439,Alienation Trilogy
5202,Wild Orchid Collection
245129,Pumping Iron Collection
141084,Happily N Ever After Collection
134011,The Fugitive / U.S. Marshals Collection
5547,RoboCop Collection
342009,Die Nibelungen Filmreihe
47627,Trancers Collection
182617,Elvira Collection
179244,Pee-wee s Collection
59586,The Blue Lagoon collection
167691,Trilogy of Life
379920,Deadly Prey Collection
356437,Living Trilogy
108693,National Lampoon s Vacation Collection
8819,Casper Collection
101246,Azumi Collection
439053,Brooklyn Cigar Store Collection
431417,Nevada Smith Collection
12075,Elling Collection
59567,Shanghai Noon Collection
215456,Keinohrhasen Filmreihe
167613,Alvin and the Chipmunks Collection
286162,Power Rangers Collection
332357,The Dukes Of Hazzard Collection
374511,Godzilla (Heisei) Collection
43058,Homeward Bound Collection
340623,The Gate Collection
126580,One Missed Call Collection
107471,Yamakasi - Collection
102777,White Noise Collection
321061,The Wild Geese Collection
109608,Van Helsing Collection
133923,Zombi Collection
33938,Airport Collection
13800,Futurama Collection
387618,8MM Collection
257053,Carrie Collection
119581,Elite Squad Collection
123249,"Ilsa, She Wolf of the SS Collection"
52785,xXx Collection
66761,Open Season Collection
96680,Smokin  Aces Collection
93731,Waiting Collection
98513,Behind Enemy Lines Collection
8050,Highlander Collection
144146,Lemmy Caution Collection
240156,Sami Swoi Collection
298820,American Pie (Spin-off) Collection
86092,Step Up Collection
74508,[REC] Collection
389767,My Big Fat Greek Wedding Collection
476065,What the Bleep! Collection
25542,An American Girl Collection
87186,The Boondock Saints Collection
87805,The Gods Must Be Crazy Collection
312744,Madicken
96676,Never Back Down Collection
8647,The Skulls Collection
96665,Dumb and Dumber Collection
118221,Weekend at Bernie s Collection
94032,The Lion King Collection
123255,Prom Night Collection
135483,Taken Collection
93791,Anchorman Collection
8917,Hellraiser Collection
8945,Mad Max Collection
170452,Timecop Collection
86024,Legally Blonde Collection
169452,DragonHeart Collection
223564,The Cell Collection
105075,The Shadow Collection
422193,The Blob Collection
94039,Asterix and Obelix (Animation) Collection
8979,Wayne s World Collection
86774,Che Collection
462400,Wanted - Collection
10789,Pet Sematary Collection
86115,Garfield Collection
94899,Jeepers Creepers Collection
152544,Green Street Hooligans Collection
14890,Bad Boys Collection
100965,Atlantis Collection
33514,The Twilight Collection
96937,The Boogeyman Collection
166373,The Marine Collection
251970,The Protector Collection
166376,Hollow Man Collection
76291,Simon Brenner Collection
9068,The Prophecy Collection
17178,Jackass Collection
108804,Outpost Collection
53159,The Santa Clause Collection
264335,The Eye Collection
9046,A Chinese Ghost Story Collection
269098,Police Story Collection
115142,Tales from the Crypt Collection
208765,Europa Trilogy
224478,The Brady Bunch Collection
9088,The Little Polar Bear Collection
9329,Young Guns Collection
122017,Screamers Collection
232403,Otto Collection
52988,Hot Shots! Collection
221111,S.W.A.T. Collection
48188,Poison Ivy Collection
115839,Blue Crush Collection
330605,The Sting Collection
307637,Jingle All the Way Collection
96679,Road Trip Collection
8864,Final Destination Collection
106498,Dungeons & Dragons Collection
9332,Crocodile Dundee Collection
9818,Mortal Kombat Collection
94589,Ong Bak Collection
23026,Ghost in the Shell Collection
97459,The Jungle Book Collection
89264,Romancing the Stone Collection
86028,The Nutty Professor Collection
116669,The Scorpion King Collection
9338,Police Academy Collection
165679,Girl s on Top Collection
9887,Species Collection
10713,Universal Soldier Collection
72119,"Honey, I Shrunk the Kids Collection"
9521,Look Who s Talking Collection
105995,Anaconda Collection
91799,Tremors Collection
475802,Super Size Me Collection
425175,Texas Chainsaw (Reboot) Collection
43055,Conan the Barbarian Collection
